,date,target,insult,tweet
2721,6/25/2017,hillary-clinton,Is she allowed to so collude?,Hillary Clinton colluded with the Democratic Party in order to beat Crazy Bernie Sanders. Is she allowed to so collude? Unfair to Bernie!
2722,6/26/2017,hillary-clinton,Crooked,"...and did not want to ""rock the boat."" He didn't ""choke,"" he colluded or obstructed, and it did the Dems and Crooked Hillary no good."
2723,6/26/2017,barack-obama,NOTHING about Russia,The reason that President Obama did NOTHING about Russia after being notified by the CIA of meddling is that he expected Clinton would win..
2724,6/26/2017,barack-obama,colluded or obstructed,"...and did not want to ""rock the boat."" He didn't ""choke,"" he colluded or obstructed, and it did the Dems and Crooked Hillary no good."
2725,6/26/2017,barack-obama,did NOTHING after being informed in August about Russian meddling,The real story is that President Obama did NOTHING after being informed in August about Russian meddling. With 4 months looking at Russia...
2726,6/26/2017,democrats,have become nothing but OBSTRUCTIONISTS,"The Democrats have become nothing but OBSTRUCTIONISTS, they have no policies or ideas. All they do is delay and complain.They own ObamaCare!"
2727,6/26/2017,democrats,have no policies or ideas,"The Democrats have become nothing but OBSTRUCTIONISTS, they have no policies or ideas. All they do is delay and complain.They own ObamaCare!"
2728,6/26/2017,democrats,All they do is delay and complain,"The Democrats have become nothing but OBSTRUCTIONISTS, they have no policies or ideas. All they do is delay and complain.They own ObamaCare!"
2729,6/26/2017,democrats,no help,"Republican Senators are working very hard to get there, with no help from the Democrats. Not easy! Perhaps just let OCare crash & burn!"
2730,6/27/2017,washington-post,Fake News,"So they caught Fake News CNN cold, but what about NBC, CBS & ABC? What about the failing @nytimes & @washingtonpost? They are all Fake News!"
2731,6/27/2017,washington-post,failing,"So they caught Fake News CNN cold, but what about NBC, CBS & ABC? What about the failing @nytimes & @washingtonpost? They are all Fake News!"
2732,6/27/2017,nbc,Fake News,"So they caught Fake News CNN cold, but what about NBC, CBS & ABC? What about the failing @nytimes & @washingtonpost? They are all Fake News!"
2733,6/27/2017,abc-news,Fake News,"So they caught Fake News CNN cold, but what about NBC, CBS & ABC? What about the failing @nytimes & @washingtonpost? They are all Fake News!"
2734,6/27/2017,cbs,Fake News,"So they caught Fake News CNN cold, but what about NBC, CBS & ABC? What about the failing @nytimes & @washingtonpost? They are all Fake News!"
2735,6/27/2017,cnn,phony stories,"Wow, CNN had to retract big story on ""Russia,"" with 3 employees forced to resign. What about all the other phony stories they do? FAKE NEWS!"
2736,6/27/2017,cnn,FAKE NEWS!,"Wow, CNN had to retract big story on ""Russia,"" with 3 employees forced to resign. What about all the other phony stories they do? FAKE NEWS!"
